"ID","post_author","post_date","post_date_gmt","post_content","post_title","post_excerpt","post_status","comment_status","ping_status","post_password","post_name","to_ping","pinged","post_modified","post_modified_gmt","post_content_filtered","post_parent","guid","menu_order","post_type","post_mime_type","comment_count"
"97","1","2025-10-24 18:26:42","2025-10-07 12:31:29",,"Regisztráció",,"publish","closed","closed",,"regisztracio",,,"2025-10-24 18:26:42","2025-10-24 18:26:42",,"0","https://pharmagister.hu/?p=97","4","nav_menu_item",,"0"
"101","1","2025-10-07 13:12:51","2025-10-07 13:12:51","<!-- wp:paragraph -->
<p>[pss_applicant_viewer]</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->","Jelentkező adatai",,"publish","closed","closed",,"applicant-view",,,"2025-10-24 20:26:21","2025-10-24 20:26:21",,"0","https://pharmagister.hu/?page_id=101","0","page",,"0"
"107","1","2025-10-07 17:37:43","2025-10-07 17:37:43","<!-- wp:paragraph -->
<p>[pss_my_messages]</p>
<!-- /wp:paragraph -->","Üzeneteim",,"publish","closed","closed",,"uzeneteim",,,"2025-10-24 20:25:13","2025-10-24 20:25:13",,"0","https://pharmagister.hu/?page_id=107","0","page",,"0"
"109","1","2025-10-24 18:26:42","2025-10-07 17:43:51"," ",,,"publish","closed","closed",,"109",,,"2025-10-24 18:26:42","2025-10-24 18:26:42",,"0","https://pharmagister.hu/?p=109","5","nav_menu_item",,"0"
"155","1","2025-10-09 13:55:31","2025-10-09 13:55:31","<!-- wp:paragraph -->
<p>[pss_pharmacy_profile]</p>
<!-- /wp:paragraph -->","Gyógyszertár Adatlap",,"publish","closed","closed",,"gyogyszertar-adatlap",,,"2025-10-24 20:26:35","2025-10-24 20:26:35",,"0","https://pharmagister.hu/?page_id=155","0","page",,"0"
"208","1","2025-10-12 19:08:48","2025-10-12 19:08:48","<!-- wp:paragraph -->
<p>[pss_custom_registration_form]</p>
<!-- /wp:paragraph -->","Regisztráció",,"publish","closed","closed",,"regisztracio-2",,,"2025-10-24 20:25:26","2025-10-24 20:25:26",,"0","https://pharmagister.hu/?page_id=208","0","page",,"0"
"227","1","2025-10-13 18:32:31","2025-10-13 18:32:31","<!-- wp:paragraph -->
<p>[pss_user_profile_view]</p>
<!-- /wp:paragraph -->","Felhasználói Adatlap",,"publish","closed","closed",,"felhasznaloi-adatlap",,,"2025-10-24 20:26:46","2025-10-24 20:26:46",,"0","https://pharmagister.hu/?page_id=227","0","page",,"0"
"302","1","2025-10-18 08:22:49","2025-10-18 08:22:49","<!-- wp:paragraph -->
<p><strong>[pss_control_panel]</strong></p>
<!-- /wp:paragraph -->","Vezérlőpult",,"publish","closed","closed",,"vezerlopult",,,"2025-10-24 20:24:48","2025-10-24 20:24:48",,"0","https://pharmagister.hu/?page_id=302","0","page",,"0"
"304","1","2025-10-24 18:26:42","2025-10-18 08:23:17"," ",,,"publish","closed","closed",,"304",,,"2025-10-24 18:26:42","2025-10-24 18:26:42",,"0","https://pharmagister.hu/?p=304","6","nav_menu_item",,"0"
"316","1","2025-10-18 20:47:01","2025-10-18 20:47:01","/* --- 1. GLOBÁLIS BEÁLLÍTÁSOK (MINDEN NÉZETRE) --- */

/* A rögzített háttérkép az egész oldalra */
body {
    background-image: url('https://pharmagister.hu/wp-content/uploads/2025/10/IMG_5544.jpg');
    background-size: cover; 
    background-position: center center; 
    background-repeat: no-repeat; 
    background-attachment: fixed !important; 
    background-color: #e0f2f1; /* Tartalék szín */
}

/* A fő tartalom fehér, olvasható háttere */
.site-content { 
   background-color: rgba(255, 255, 255, 0.95);
   padding: 25px; 
   margin-top: 20px; 
   margin-bottom: 20px; 
   box-shadow: 0 2px 5px rgba(0,0,0,0.1); 
   border-radius: 4px; 
} 

/* A lábléc átlátszó háttere */
.site-footer, 
.ast-footer-wrap {
     background-color: transparent !important; 
     border-top: 1px solid rgba(255, 255, 255, 0.2);
     color: #ffffff; /* Fehér szöveg a láblécben */
}
.site-footer a {
    color: #ffffff;
    font-weight: bold;
}

/* --- 2. ASZTALI NÉZET STÍLUSAI (921px felett) --- */
@media (min-width: 922px) {

    /* Átlátszó fejléc sáv */
    .main-header-bar,
    .site-header {
        background-color: transparent !important; 
        border-bottom: 1px solid rgba(255, 255, 255, 0.2); 
    }

    /* Fehér ""Pharmagister"" felirat és kereszt */
    .site-title a,
    .site-title a:hover {
        color: #ffffff !important; 
        font-weight: bold;
        text-decoration: none !important; /* Aláhúzás eltávolítása */
    }
    .site-title a::after {
        content: ""+"";
        font-weight: 900;
        color: #ffffff;
        font-size: 1.1em;
        margin-left: 10px;
        vertical-align: text-top;
        text-decoration: none !important; /* Aláhúzás eltávolítása */
    }

    /* Fehér menüpontok */
    .main-header-menu .menu-link {
        color: #ffffff !important; 
        font-weight: 500;
        background-color: transparent !important; 
    }
    .main-header-menu .menu-link:hover {
        color: #000000 !important; 
        background-color: rgba(255, 255, 255, 0.8) !important; 
    }
}

","astra",,"publish","closed","closed",,"astra",,,"2025-10-21 17:11:45","2025-10-21 17:11:45",,"0","https://pharmagister.hu/2025/10/18/astra/","0","custom_css",,"0"
